Index,Title,Author,Type,Description,Path
0,Microbiology 7th Edition,"Prescott, Harley & Kleins",Book,"Microbiology 7th Edition - Prescott, Harley & Kleins",/media/jay/06B2C565B2C559B7/Learning/Books/School/Biology Related/Microbiology-7th-Edition-Bookateria.net.pdf
1,A Level Biology,Openstax College,Book,A Level Biology - Openstax College,/media/jay/06B2C565B2C559B7/Learning/Books/School/Biology Related/A-Level-Biology-Bookateria.net.pdf
2,As And A Level Biology Coursebook,Cambridge International,Book,As And A Level Biology Coursebook - Cambridge International,/media/jay/06B2C565B2C559B7/Learning/Books/School/Biology Related/As-And-A-Level-Biology-Coursebook-Bookateria.net.pdf
3,Campbell Biology,"Jane Reece, Robert Jackson And Co ",Book,"Campbell Biology - Jane Reece, Robert Jackson And Co ",/media/jay/06B2C565B2C559B7/Learning/Books/School/Biology Related/Campbell-Biology-Bookateria.net.pdf
4,Biology Of Plants,"Ray Evert, Susan Eichhorn",Book,"Biology Of Plants - Ray Evert, Susan Eichhorn",/media/jay/06B2C565B2C559B7/Learning/Books/School/Biology Related/Biology-Of-Plants-Bookateria.net.pdf
5,Calculations For A Level Chemistry,E N Ramsden,Book,Calculations For A Level Chemistry - E N Ramsden,/media/jay/06B2C565B2C559B7/Learning/Books/School/Chemistry Related/Calculations-For-A-Level-Chemistry-Bookateria.net.pdf
6,As And A Level Chemistry Coursebook,Cambridge International,Book,As And A Level Chemistry Coursebook - Cambridge International,/media/jay/06B2C565B2C559B7/Learning/Books/School/Chemistry Related/As-And-A-Level-Chemistry-Coursebook-Bookateria.net.pdf
7,Chemistry the Central Science 13th Edtion,Bruce E Bursten And Co,Book,Chemistry the Central Science 13th Edtion - Bruce E Bursten And Co,/media/jay/06B2C565B2C559B7/Learning/Books/School/Chemistry Related/Chemistry-the-Central-Science-13th-Edtion-Bookateria.net.pdf
8,Chemistry the Molecular Nature Of Matter And Change,Silberberg Amateis,Book,Chemistry the Molecular Nature Of Matter And Change - Silberberg Amateis,/media/jay/06B2C565B2C559B7/Learning/Books/School/Chemistry Related/Chemistry-the-Molecular-Nature-Of-Matter-And-Change-Bookateria.net.pdf
9,Chemistry,"Steven, Susan Zumdahl",Book,"Chemistry - Steven, Susan Zumdahl",/media/jay/06B2C565B2C559B7/Learning/Books/School/Chemistry Related/Chemistry-Bookateria.net.pdf
