Index,Category,Title,Issue,Year
0,dc,Adventures of the super sons,11,2019
1,dc,Aquaman,48,2019
2,dc,catwoman,12,2019
3,dc,batman,71,2019
4,dc,the batman who laughs,6,2019
5,dc,dial H for hero,3,2019
6,dc,female furies,4,2020
7,dc,freedom fighters,6,2019
8,dc,the green lantern,8,2019
9,dc,heroes in crisis,9,2019
10,dc,immortal men,6,2019
11,dc,justice league,24,2019
12,dc,justice league dark,11,2020
13,dc,justice league odyssey,10,2019
14,dc,martian manhunter,5,2019
15,dc,naomi,5,2019
16,dc,shazam,6,2019
17,dc,sideways,14,2019
18,dc,the silencer,17,2019
19,dc,suicide squad black files,7,2019
20,dc,superman,11,2019
21,dc,the curse of brimstone,13,2019
22,dc,the flash,71,2019
23,dc,the terrifics,16,2019
24,dc,wonder twins,5,2019
25,dc,wonder woman,71,2019
26,dc,young justice,6,2019
27,marvel,captain marvel,6,2019
28,marvel,champions,6,2019
29,marvel,guardians of the galaxy,5,2019
30,marvel,ironheart,6,2019
31,marvel,amazing spider man,21,2019
32,marvel,miles morales spider-man,6,2019
33,marvel,spider-gwen ghost spider,9,2019
34,marvel,superior spider-man,6,2019
35,marvel,symbiote spider-man,3,2019
36,marvel,venom,14,2019
37,marvel,x-23,12,2019
